序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
24074,20:13:05.007,0x262F54D,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 00 85 8B BF 00 D7 A3 3E 
24075,20:13:05.007,0x262F563,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 4E 6D 42 A4 70 ED 42 
24076,20:13:05.037,0x262F578,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24077,20:13:05.037,0x262F58D,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 A0 E6 42 
24078,20:13:05.097,0x262F80B,ch1,接收,0x0120,数据帧,标准帧,0x08,x| C3 F5 08 43 48 E1 AE 42 
24079,20:13:05.097,0x262F820,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 00 52 98 BF C0 1E 85 3E 
24080,20:13:05.097,0x262F835,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 10 6F 42 A4 70 ED 42 
24081,20:13:05.097,0x262F84A,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24082,20:13:05.097,0x262F85F,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 DB E7 42 
24083,20:13:05.157,0x262FADE,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 3D 4A 09 43 85 6B AF 42 
24084,20:13:05.157,0x262FAF3,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 00 29 9C BF 20 5C 8F 3E 
24085,20:13:05.157,0x262FB08,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 18 76 42 A4 70 ED 42 
24086,20:13:05.157,0x262FB1D,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24087,20:13:05.157,0x262FB32,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 9D E9 42 
24088,20:13:05.247,0x262FDB0,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 33 73 09 43 D7 A3 AF 42 
24089,20:13:05.247,0x262FDC5,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 00 29 BC BF A0 70 BD 3E 
24090,20:13:05.247,0x262FDDB,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 A8 6D 42 A4 70 ED 42 
24091,20:13:05.247,0x262FDF0,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24092,20:13:05.247,0x262FE05,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 19 E6 42 
24093,20:13:05.308,0x2630083,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 7B 54 09 43 1F 85 AF 42 
24094,20:13:05.308,0x2630098,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 40 8F A2 BF 00 D7 23 3D 
24095,20:13:05.308,0x26300AD,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 C4 6F 42 A4 70 ED 42 
24096,20:13:05.308,0x26300C2,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24097,20:13:05.308,0x26300D7,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 73 E6 42 
24098,20:13:05.368,0x2630356,ch1,接收,0x0120,数据帧,标准帧,0x08,x| EC 91 09 43 C3 F5 AF 42 
24099,20:13:05.368,0x263036B,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 00 D7 A3 BF 00 85 6B BE 
