序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
16332,="20:03:41.728",0x20D1C9B,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 8F E8 42 
16333,="20:03:41.788",0x20D1F1C,ch1,接收,0x0120,数据帧,标准帧,0x08,x| A4 70 09 43 E1 7A BF 42 
16334,="20:03:41.788",0x20D1F31,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 18 AE 43 C1 E2 7A C0 C1 
16335,="20:03:41.788",0x20D1F46,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 68 62 42 00 80 ED 42 
16336,="20:03:41.788",0x20D1F5B,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16337,="20:03:41.788",0x20D1F70,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 9D E9 42 
16338,="20:03:41.879",0x20D21F1,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 3D 4A 09 43 52 38 BF 42 
16339,="20:03:41.879",0x20D2206,ch1,接收,0x0121,数据帧,标准帧,0x08,x| B0 47 45 C1 5C 8F C2 C1 
16340,="20:03:41.879",0x20D221C,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 A6 60 42 00 80 ED 42 
16341,="20:03:41.879",0x20D2231,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16342,="20:03:41.879",0x20D2246,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 81 E7 42 
16343,="20:03:41.938",0x20D24C7,ch1,接收,0x0120,数据帧,标准帧,0x08,x| A4 F0 08 43 9A 99 BE 42 
16344,="20:03:41.938",0x20D24DC,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 78 14 46 C1 EC 51 C4 C1 
16345,="20:03:41.938",0x20D24F1,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 5A 61 42 00 80 ED 42 
16346,="20:03:41.938",0x20D2506,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16347,="20:03:41.938",0x20D251B,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 CA E9 42 
16348,="20:03:41.998",0x20D279D,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 52 78 08 43 0A D7 BD 42 
16349,="20:03:41.998",0x20D27B2,ch1,接收,0x0121,数据帧,标准帧,0x08,x| F8 28 44 C1 29 5C C5 C1 
16350,="20:03:41.998",0x20D27C7,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 B4 61 42 00 80 ED 42 
16351,="20:03:42.029",0x20D27DC,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16352,="20:03:42.029",0x20D27F1,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 D8 EA 42 
16353,="20:03:42.088",0x20D2A72,ch1,接收,0x0120,数据帧,标准帧,0x08,x| F6 E8 07 43 29 DC BC 42 
16354,="20:03:42.088",0x20D2A87,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 08 D7 43 C1 66 66 C6 C1 
16355,="20:03:42.088",0x20D2A9C,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 36 58 42 00 80 ED 42 
16356,="20:03:42.088",0x20D2AB1,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16357,="20:03:42.088",0x20D2AC7,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 DE E4 42 
16358,="20:03:42.148",0x20D2D48,ch1,接收,0x0120,数据帧,标准帧,0x08,x| C3 35 07 43 52 B8 BB 42 
16359,="20:03:42.148",0x20D2D5D,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 78 14 42 C1 3E 0A C9 C1 
16360,="20:03:42.148",0x20D2D72,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 0E 62 42 00 80 ED 42 
16361,="20:03:42.148",0x20D2D87,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16362,="20:03:42.148",0x20D2D9C,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 54 E7 42 
16363,="20:03:42.238",0x20D301D,ch1,接收,0x0120,数据帧,标准帧,0x08,x| C3 75 06 43 C3 75 BA 42 
16364,="20:03:42.238",0x20D3032,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 50 B8 3E C1 E2 7A CA C1 
16365,="20:03:42.238",0x20D3048,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 5A 61 42 00 80 ED 42 
16366,="20:03:42.238",0x20D305D,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16367,="20:03:42.238",0x20D3072,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 81 E7 42 
16368,="20:03:42.298",0x20D32F3,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 66 E6 05 43 1F 85 B9 42 
16369,="20:03:42.298",0x20D3308,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 98 99 3D C1 9A 99 CB C1 
16370,="20:03:42.298",0x20D331D,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 D6 5D 42 00 80 ED 42 
16371,="20:03:42.298",0x20D3332,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16372,="20:03:42.298",0x20D3347,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 DB E7 42 
16373,="20:03:42.358",0x20D35C8,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 00 C0 05 43 CD 4C B9 42 
16374,="20:03:42.388",0x20D35DD,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 98 99 3D C1 00 00 CC C1 
16375,="20:03:42.388",0x20D35F3,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 B4 61 42 00 80 ED 42 
16376,="20:03:42.388",0x20D3608,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16377,="20:03:42.388",0x20D361D,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 08 E8 42 
16378,="20:03:42.448",0x20D389E,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 8F C2 05 43 EC 51 B9 42 
16379,="20:03:42.448",0x20D38B3,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 88 EB 3D C1 00 00 CC C1 
16380,="20:03:42.448",0x20D38C8,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 C8 5C 42 00 80 ED 42 
16381,="20:03:42.448",0x20D38DD,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16382,="20:03:42.448",0x20D38F2,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 BF E5 42 
16383,="20:03:42.508",0x20D3B74,ch1,接收,0x0120,数据帧,标准帧,0x08,x| CD CC 05 43 EC 51 B9 42 
16384,="20:03:42.508",0x20D3B89,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 88 EB 3D C1 14 AE CB C1 
16385,="20:03:42.508",0x20D3B9E,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 F8 59 42 00 80 ED 42 
16386,="20:03:42.538",0x20D3BB3,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16387,="20:03:42.538",0x20D3BC8,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 EC E5 42 
16388,="20:03:42.599",0x20D3E49,ch1,接收,0x0120,数据帧,标准帧,0x08,x| EC D1 05 43 33 33 B9 42 
16389,="20:03:42.599",0x20D3E5E,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 18 AE 3F C1 9A 99 CB C1 
16390,="20:03:42.599",0x20D3E73,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 98 5F 42 00 80 ED 42 
16391,="20:03:42.599",0x20D3E89,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16392,="20:03:42.599",0x20D3E9E,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 CA E9 42 
16393,="20:03:42.658",0x20D411F,ch1,接收,0x0120,数据帧,标准帧,0x08,x| F6 A8 05 43 71 BD B8 42 
16394,="20:03:42.658",0x20D4134,ch1,接收,0x0121,数据帧,标准帧,0x08,x| F8 28 40 C1 5C 8F CC C1 
16395,="20:03:42.658",0x20D4149,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 CE 56 42 00 80 ED 42 
16396,="20:03:42.658",0x20D415E,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16397,="20:03:42.658",0x20D4173,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 65 E5 42 
16398,="20:03:42.748",0x20D43F4,ch1,接收,0x0120,数据帧,标准帧,0x08,x| CD 8C 05 43 3D 8A B8 42 
16399,="20:03:42.748",0x20D4409,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 70 3D 3E C1 48 E1 CE C1 
16400,="20:03:42.748",0x20D441F,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 4C 60 42 00 80 ED 42 
16401,="20:03:42.748",0x20D4434,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16402,="20:03:42.748",0x20D4449,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 8F E8 42 
16403,="20:03:42.808",0x20D46CA,ch1,接收,0x0120,数据帧,标准帧,0x08,x| CD 8C 05 43 3D 8A B8 42 
16404,="20:03:42.808",0x20D46DF,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 50 B8 3E C1 1E 85 CF C1 
16405,="20:03:42.808",0x20D46F4,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 D0 63 42 00 80 ED 42 
16406,="20:03:42.808",0x20D4709,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16407,="20:03:42.808",0x20D471E,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 16 E9 42 
16408,="20:03:42.868",0x20D499F,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 3D 8A 05 43 00 80 B8 42 
16409,="20:03:42.868",0x20D49B5,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 00 00 40 C1 0A D7 CF C1 
16410,="20:03:42.898",0x20D49CA,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 C8 5C 42 00 80 ED 42 
16411,="20:03:42.898",0x20D49DF,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16412,="20:03:42.898",0x20D49F4,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 AE E7 42 
16413,="20:03:42.958",0x20D4C75,ch1,接收,0x0120,数据帧,标准帧,0x08,x| D7 63 05 43 71 3D B8 42 
16414,="20:03:42.958",0x20D4C8A,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 88 EB 41 C1 A4 70 D1 C1 
16415,="20:03:42.958",0x20D4C9F,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 9E 59 42 00 80 ED 42 
16416,="20:03:42.958",0x20D4CB4,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16417,="20:03:42.958",0x20D4CCA,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 73 E6 42 
16418,="20:03:43.018",0x20D4F4B,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 9A 19 05 43 D7 A3 B7 42 
16419,="20:03:43.018",0x20D4F60,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 70 3D 42 C1 B8 1E D1 C1 
16420,="20:03:43.018",0x20D4F75,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 68 62 42 00 80 ED 42 
16421,="20:03:43.018",0x20D4F8A,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
