序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
18308,20:05:16.859,0x21B9C82,ch1,接收,0x0120,数据帧,标准帧,0x08,x| E1 3A 0A 43 1F 85 B8 42 
18309,20:05:16.859,0x21B9C97,ch1,接收,0x0121,数据帧,标准帧,0x08,x| A0 70 6D C0 CD CC A0 C1 
18310,20:05:16.859,0x21B9CAC,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 16 69 42 00 80 ED 42 
18311,20:05:16.859,0x21B9CC1,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18312,20:05:16.888,0x21B9CD6,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 27 E7 42 
18313,20:05:16.948,0x21B9F57,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 52 38 0A 43 00 80 B8 42 
18314,20:05:16.948,0x21B9F6C,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 80 EB 71 C0 D7 A3 A2 C1 
18315,20:05:16.948,0x21B9F81,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 4E 6D 42 00 80 ED 42 
18316,20:05:16.948,0x21B9F96,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18317,20:05:16.948,0x21B9FAB,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 F7 E9 42 
18318,20:05:17.009,0x21BA22B,ch1,接收,0x0120,数据帧,标准帧,0x08,x| F6 28 0A 43 00 80 B8 42 
18319,20:05:17.009,0x21BA240,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 80 EB 71 C0 14 AE A3 C1 
18320,20:05:17.009,0x21BA255,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 E6 6B 42 00 80 ED 42 
18321,20:05:17.009,0x21BA26B,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18322,20:05:17.009,0x21BA280,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 CA E9 42 
18323,20:05:17.098,0x21BA500,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 66 26 0A 43 00 80 B8 42 
18324,20:05:17.098,0x21BA515,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 40 0A 77 C0 5C 8F A4 C1 
18325,20:05:17.098,0x21BA52A,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 C4 6F 42 00 80 ED 42 
18326,20:05:17.098,0x21BA53F,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18327,20:05:17.098,0x21BA554,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 24 EA 42 
18328,20:05:17.159,0x21BA7D4,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 66 26 0A 43 00 80 B8 42 
18329,20:05:17.159,0x21BA7EA,ch1,接收,0x0121,数据帧,标准帧,0x08,x| B0 47 81 C0 33 33 A7 C1 
