序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
20739,="20:10:38.188",0x24C94EF,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 50 B8 FE C0 3D 0A 97 C0 
20740,="20:10:38.188",0x24C9505,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 CA 3C 42 C3 75 ED 42 
20741,="20:10:38.188",0x24C951A,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20742,="20:10:38.188",0x24C952F,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 43 E9 42 
20743,="20:10:38.279",0x24C97AE,ch1,接收,0x0120,数据帧,标准帧,0x08,x| B8 9E F6 42 00 80 97 42 
20744,="20:10:38.279",0x24C97C3,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 80 14 FE C0 7B 14 96 C0 
20745,="20:10:38.279",0x24C97D8,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 8C 3E 42 C3 75 ED 42 
20746,="20:10:38.279",0x24C97ED,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20747,="20:10:38.279",0x24C9802,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 24 EA 42 
20748,="20:10:38.338",0x24C9A82,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 5C 8F F6 42 A4 70 97 42 
20749,="20:10:38.338",0x24C9A97,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 80 14 FE C0 CD CC 94 C0 
20750,="20:10:38.338",0x24C9AAC,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 EC 38 42 C3 75 ED 42 
20751,="20:10:38.338",0x24C9AC1,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20752,="20:10:38.338",0x24C9AD6,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 8F E8 42 
20753,="20:10:38.399",0x24C9D55,ch1,接收,0x0120,数据帧,标准帧,0x08,x| E1 7A F6 42 0A 57 97 42 
20754,="20:10:38.399",0x24C9D6A,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 10 AE FF C0 F6 28 8C C0 
20755,="20:10:38.399",0x24C9D7F,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 F4 3F 42 C3 75 ED 42 
20756,="20:10:38.428",0x24C9D95,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20757,="20:10:38.428",0x24C9DAA,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 24 EA 42 
20758,="20:10:38.489",0x24CA029,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 85 6B F6 42 CD 4C 97 42 
20759,="20:10:38.489",0x24CA03E,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 70 3D FA C0 AE 47 89 C0 
20760,="20:10:38.489",0x24CA053,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 40 3F 42 C3 75 ED 42 
20761,="20:10:38.489",0x24CA068,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20762,="20:10:38.489",0x24CA07D,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 CA E9 42 
20763,="20:10:38.548",0x24CA2FD,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 1F 85 F6 42 85 6B 97 42 
20764,="20:10:38.548",0x24CA312,ch1,接收,0x0121,数据帧,标准帧,0x08,x| C0 F5 F0 C0 A4 70 85 C0 
20765,="20:10:38.548",0x24CA327,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 08 3B 42 C3 75 ED 42 
20766,="20:10:38.548",0x24CA33C,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20767,="20:10:38.548",0x24CA351,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 8F E8 42 
